method,n_train,n_components,n_holdout,n_validation,support_size,selected_k,alpha,val_r2,holdout_r2,train_r2,pearson_vs_mi,spearman_vs_mi,top5_overlap,mae_vs_mi,beta_norm
lasso,8,32,64,64,0.0,0.0,0.4259839708709722,-0.5064910969514775,-1.220945023850574,2.220446049250313e-16,,0.22485890969940836,0.0,0.1619772978592664,1.2819751242557095e-16
lasso,12,32,64,64,10.0,10.0,0.015348937100406428,0.18070150911755845,-0.22457300158013327,0.9949971574480376,0.5313575862631774,0.460900823740956,0.6,0.17184226916238282,1.1958438896725172
lasso,16,32,64,64,14.0,14.0,0.013496169711095692,0.6635481498208373,0.4747788319429076,0.9915863692042077,0.8339732741870454,0.48594404075345426,0.8,0.1258208995357695,1.2804068491169212
lasso,24,32,64,64,14.0,14.0,0.03003770038693841,0.9741850317925336,0.9693230921155593,0.9873252581041262,0.9936795758088572,0.44003126767223333,0.8,0.04894250342322101,1.7669794179980094
lasso,32,32,64,64,13.0,13.0,0.029728039428102697,0.9808486075004674,0.9821468934604424,0.9911585696910921,0.9960918978566871,0.701373504767505,1.0,0.04012965808309727,1.8439365715977656
lasso,48,32,64,64,17.0,17.0,0.018384740754733266,0.980579311138589,0.9817623978351776,0.9945442263826076,0.9966952558242557,0.7312573772146272,1.0,0.04016588311469309,1.8253151461845105
lasso,64,32,64,64,23.0,23.0,0.009413330585655787,0.9777104636807683,0.9805073879712505,0.9933551680767498,0.9942451852927182,0.7712506636670704,0.8,0.04356299992541815,1.8321280901181023
lasso,96,32,64,64,26.0,26.0,0.004972936601263902,0.9808144843629886,0.9834368322043247,0.9899039496424588,0.9974447538889176,0.8487216795541845,1.0,0.035719785235781766,1.8424272601685856
lasso,128,32,64,64,23.0,23.0,0.0062534743006158406,0.9819036555066802,0.9842966088987718,0.9890854283332331,0.9980677603381771,0.8189415259614594,1.0,0.03574970135653617,1.8488493995547908
omp,8,32,64,64,3.0,3.0,3.0,-0.6013035099181794,-1.5103951377654923,0.9903196961840309,0.18294204935319808,0.2760766119387088,0.2,0.20034051320543736,1.117292216342473
omp,12,32,64,64,4.0,4.0,4.0,0.963897684978234,0.9347141098561826,0.9821304295243944,0.9886063036465091,0.5770297860846152,0.8,0.05261140355912737,1.775597293633465
omp,16,32,64,64,4.0,4.0,4.0,0.9713392347069199,0.9571278074016307,0.9681448246163835,0.9916882231499605,0.5770297860846152,0.8,0.04602754126387669,1.882314668525002
omp,24,32,64,64,5.0,5.0,5.0,0.9682107219744698,0.9754425996555087,0.9872844226062569,0.9953714785588393,0.6347939057302721,1.0,0.034515972517396576,2.034085512379622
omp,32,32,64,64,16.0,16.0,16.0,0.976502466478427,0.9787761909728333,0.9991673273185115,0.9961715484753078,0.8242713122680261,1.0,0.028093300154750697,1.9950370314205819
omp,48,32,64,64,8.0,8.0,8.0,0.9773497948108092,0.9815298971914064,0.9940248463958178,0.9962067689067952,0.7262167328613601,1.0,0.03209389915386808,1.9716064486247142
omp,64,32,64,64,4.0,4.0,4.0,0.9764418884206302,0.9746168518470083,0.9760776675477486,0.9939690549563585,0.5770297860846152,0.8,0.043972491898855284,1.9165084282150207
omp,96,32,64,64,12.0,12.0,12.0,0.9794489260857127,0.9821583682363949,0.9880180739909161,0.9962562842968506,0.7289927025126458,1.0,0.03539715123684857,1.8657449534555475
omp,128,32,64,64,12.0,12.0,12.0,0.9812982331702111,0.9842679536896765,0.9876748945017731,0.9974330721859035,0.7817445720057142,1.0,0.03252123167959076,1.8854708827744366
ridge,8,32,64,64,32.0,32.0,0.01,-0.36075772725963207,-1.1269690781490436,0.9999989092415403,0.2708213050015366,0.3577792627709215,0.2,0.18158635040057516,0.3963376706282182
ridge,12,32,64,64,32.0,32.0,0.01,0.2964136149851494,-0.16930859641252982,0.9999951346368705,0.5213357727003678,0.3459883910833113,0.6,0.20732517548937116,1.00013050101356
ridge,16,32,64,64,32.0,32.0,0.01,0.38281004813587083,-0.07118656944302226,0.9999947778885511,0.5069237798381094,0.30987884654000514,0.6,0.210613526871134,1.1125433440677548
ridge,24,32,64,64,32.0,32.0,0.01,0.6314722849330225,0.5518991408181456,0.999996943076027,0.7219684532776774,0.3213012534873775,0.8,0.1857974668863171,1.499754415892079
ridge,32,32,64,64,32.0,32.0,0.01,0.9320843748098245,0.9325506433350833,0.9999802849590577,0.9619207932771517,0.4417892235451441,0.8,0.08490799517177061,1.8768361477555167
ridge,48,32,64,64,32.0,32.0,0.01,0.9743224777548831,0.9723464999257363,0.998974375741526,0.9936639569839595,0.7391402689170632,0.8,0.03871494030023331,1.9059798223530535
ridge,64,32,64,64,32.0,32.0,0.01,0.970601914426349,0.9761406506427333,0.9956090140044258,0.9919678347117594,0.7450357047608683,0.8,0.04291799895455917,1.892561021045854
ridge,96,32,64,64,32.0,32.0,0.01,0.9800779454969668,0.9829534575950292,0.9905927267017088,0.9961990621730279,0.8172547938474808,0.8,0.03643546114835957,1.8599664766740494
ridge,128,32,64,64,32.0,32.0,0.01,0.9803609456051591,0.9852830379569173,0.9902081062610478,0.9971934486406302,0.7870406851479798,1.0,0.03449609436352369,1.8817152366246301
