epsilon,component,layer,bin,token_start,token_end_exclusive,finite_effect,atp_effect,atp_calibrated_effect,ridge_effect,omp_effect
0.6,0,0,0,0,7,-0.009043200872838497,-0.011026650667190552,-0.014298232763274889,0.014994892393699964,0.0
0.6,1,0,1,7,15,0.025699784979224205,0.007383445277810097,0.009574096646695484,0.04971099954246152,0.0
0.6,2,0,2,15,23,0.032011158764362335,0.015285858884453773,0.01982113834138358,0.012294817535393087,0.0
0.6,3,0,3,23,31,0.03747209161520004,0.02412603870034218,0.03128417934012249,0.02601742658638958,0.0
0.6,4,0,4,31,39,0.04123611003160477,0.026722754538059234,0.034651334842584834,-0.006443095545454571,0.0
0.6,5,0,5,39,47,0.07881535589694977,0.05671057105064392,0.07353646809842597,0.04164262334245164,0.0
0.6,6,0,6,47,55,0.15653616189956665,0.1524038314819336,0.19762170057925812,0.15093364707858886,0.12665312382936614
0.6,7,0,7,55,63,1.1834791898727417,0.944800615310669,1.22512080234779,1.228901402832472,1.2707494064589149
0.6,8,1,0,0,7,0.009185940027236938,0.007486936077475547,0.009708292930511474,0.017917165948894954,0.0
0.6,9,1,1,7,15,0.038626063615083694,0.02160491645336151,0.028015045874304194,-0.04269739558879372,0.0
0.6,10,1,2,15,23,0.04481970891356468,0.029372213780879973,0.03808688259811312,0.03578259984024644,0.0
0.6,11,1,3,23,31,0.04931950569152832,0.035520728677511215,0.046059647836979224,0.05989938036000702,0.0
0.6,12,1,4,31,39,0.061379652470350266,0.03960850238800049,0.05136025468127524,0.051876854952527536,0.0
0.6,13,1,5,39,47,0.09321363270282745,0.0711962342262268,0.09231999448973179,0.06917497544635734,0.0
0.6,14,1,6,47,55,0.10049021989107132,0.1361701637506485,0.17657154066857708,0.1330896812434083,0.13646953699287212
0.6,15,1,7,55,63,1.092421293258667,0.8665676593780517,1.1236763068753863,1.1210324316590357,1.115611109153311
0.6,16,2,0,0,7,0.01289433054625988,0.010933420434594153,0.01417734133336826,0.0032796849073747107,0.0
0.6,17,2,1,7,15,0.041643254458904266,0.023881374299526213,0.030966923569776657,0.0507393866158449,0.0
