epsilon,m_gain,holdout_r2_mean,holdout_r2_std,gain_mean,gain_std,repeats
0.6,0,0.9260346605209223,,1.0,,1
0.6,1,0.04483182201710299,3.284169271482844,1.3348685900295496,1.2866558386923224,50
0.6,2,0.8741582297863921,0.6351633251075143,1.2843440444706633,0.44754353403380154,50
0.6,4,0.9777221257864791,0.01914312803768185,1.282311438579076,0.13656748972551128,50
0.6,8,0.984893843954105,0.0050154976062797355,1.2723788269876934,0.07073804157387131,50
0.6,16,0.9865808351394171,0.0029197892688221766,1.272872028002597,0.045898332217412866,50
0.6,32,0.9871802070907763,0.0020248097448712673,1.273273685858156,0.033223139830039654,50
0.6,64,0.9879031767925888,0.0007596357578485754,1.2759510662057607,0.01198369156849675,50
0.6,96,0.9878529701953549,,1.2739165620526638,,1
1.2,0,0.9583353035512924,,1.0,,1
1.2,1,-0.15358002713181113,6.086081006333037,1.2279894147360795,1.315013154727569,50
1.2,2,0.9237934105244793,0.24281833518302623,1.2711287050357005,0.32163226140518125,50
1.2,4,0.9809760938400774,0.030722883034647964,1.2241440666408634,0.13819066480948045,50
1.2,8,0.9891832128274879,0.006007627985532692,1.184530073327644,0.06912713942673339,50
1.2,16,0.9911354971466834,0.0025071988782155905,1.1841656518072896,0.04246239373351277,50
1.2,32,0.9917285195099393,0.0017845169130077992,1.1836947862082658,0.029435035707739685,50
1.2,64,0.9917528163459443,0.0008648578959837988,1.1767789435364926,0.012234644148756461,50
1.2,96,0.9917799825186541,,1.1757573563181263,,1
2.0,0,0.9772900654483921,,1.0,,1
2.0,1,0.3672966895737036,2.915230423921684,1.1165827744691503,0.8966507683111774,50
2.0,2,0.9536869962475045,0.10328126361615375,1.1335393249652999,0.22209667056654323,50
2.0,4,0.9827463505721166,0.010834279806294006,1.1291705218510912,0.10893178069738854,50
2.0,8,0.9835970394313349,0.009404203147923172,1.0664639320927298,0.07650142212438499,50
2.0,16,0.9833782330576183,0.007294576568540748,1.0426738819662469,0.04656725797882349,50
2.0,32,0.985944846903253,0.003945763642509409,1.055789211011815,0.034537443003507876,50
2.0,64,0.9861150724379817,0.0024174667263614515,1.0519414652827566,0.018075500122558312,50
2.0,96,0.9863562753304651,,1.0518476646037036,,1
5.0,0,0.9629901894533501,,1.0,,1
5.0,1,-0.4009846112074589,5.470983419565661,0.6275967950360372,1.008082352068411,50
5.0,2,0.8649565346442972,0.3585056318142727,0.9398301539910544,0.29496066955183714,50
5.0,4,0.9482980160331047,0.05238785426300714,0.8470733987159663,0.14823930261350873,50
5.0,8,0.9628418572983493,0.017056401168453673,0.8160560253258857,0.08251005880000611,50
5.0,16,0.9641792433259101,0.013370175540481814,0.8047952731003238,0.06261914856453112,50
5.0,32,0.9625705588701194,0.009581971297995604,0.7856917486218539,0.03854858583491803,50
5.0,64,0.9653319591864694,0.004743169456646824,0.7907359078867409,0.018998851674011063,50
5.0,96,0.9654798410650695,,0.7895387480213716,,1
8.0,0,0.8600603916437285,,1.0,,1
8.0,1,-2.1913419802338403,12.818001402357888,0.7260825231262885,1.3402796803532908,50
8.0,2,0.8077014584400405,0.4625248343391757,0.8220662882680781,0.29449219163931056,50
8.0,4,0.9251298193801064,0.10002780318845092,0.7742813363132091,0.15564140125598858,50
8.0,8,0.954567716871722,0.020745151614371217,0.7275120525545483,0.08464407115514634,50
8.0,16,0.9534406146319473,0.012994798469833473,0.6814190950463365,0.05591104516674789,50
8.0,32,0.9602412744138625,0.006904402592740225,0.6949141992705276,0.03281916484087261,50
8.0,64,0.9604992103925017,0.003916999284408622,0.6901405538628919,0.0181505519230984,50
8.0,96,0.9604674307082118,,0.6875358341340435,,1
