epsilon,hvp_budget,method,heldout_r2_mean,heldout_r2_std,heldout_r2_count,pair_topk_recall_mean,pair_topk_recall_std,pair_topk_recall_count,pair_rmse_mean,pair_rmse_std,pair_rmse_count,pair_l1_mean,pair_l1_std,pair_l1_count,selected_k_mean,selected_k_std,selected_k_count,hvp_val_r2_mean,hvp_val_r2_std,hvp_val_r2_count,false_pair_count_in_selected_mean,false_pair_count_in_selected_std,false_pair_count_in_selected_count
5.0,1,hvp_pairs_atp_main,0.6233869429289963,0.24411860164716612,3,0.16666666666666666,0.2886751345948129,3,0.21722902268091848,0.06800253147016684,3,15.623294574718498,9.68521347437644,3,4.0,0.0,3,,,0,3.6666666666666665,0.5773502691896258,3
5.0,1,hvp_pairs_finite_main,0.5078867398014292,0.2571374080118525,3,0.16666666666666666,0.2886751345948129,3,0.21722902268091848,0.06800253147016684,3,15.623294574718498,9.68521347437644,3,4.0,0.0,3,,,0,3.6666666666666665,0.5773502691896258,3
5.0,1,hvp_pairs_only,-0.02210172409315188,0.21546585012653166,3,0.16666666666666666,0.2886751345948129,3,0.21722902268091848,0.06800253147016684,3,15.623294574718498,9.68521347437644,3,4.0,0.0,3,,,0,3.6666666666666665,0.5773502691896258,3
5.0,2,hvp_pairs_atp_main,0.8966459120244172,0.157391784253442,3,0.8333333333333334,0.28867513459481287,3,0.06492312108800093,0.1072466047682832,3,4.22726481766662,6.8850904682006195,3,4.0,0.0,3,,,0,2.3333333333333335,0.5773502691896258,3
5.0,2,hvp_pairs_finite_main,0.791961050306223,0.18009778498008316,3,0.8333333333333334,0.28867513459481287,3,0.06492312108800093,0.1072466047682832,3,4.22726481766662,6.8850904682006195,3,4.0,0.0,3,,,0,2.3333333333333335,0.5773502691896258,3
5.0,2,hvp_pairs_only,0.2245066015810413,0.17194169507968218,3,0.8333333333333334,0.28867513459481287,3,0.06492312108800093,0.1072466047682832,3,4.22726481766662,6.8850904682006195,3,4.0,0.0,3,,,0,2.3333333333333335,0.5773502691896258,3
5.0,4,hvp_pairs_atp_main,0.9433767489337209,0.07338929385068332,3,0.8333333333333334,0.28867513459481287,3,0.045006419207153946,0.07675411364125684,3,2.0403783850771293,3.467177769857379,3,1.6666666666666667,0.5773502691896257,3,0.6409512163464642,0.6192261749695984,3,0.0,0.0,3
5.0,4,hvp_pairs_finite_main,0.8409411282432554,0.07260287057118618,3,0.8333333333333334,0.28867513459481287,3,0.045006419207153946,0.07675411364125684,3,2.0403783850771293,3.467177769857379,3,1.6666666666666667,0.5773502691896257,3,0.6409512163464642,0.6192261749695984,3,0.0,0.0,3
5.0,4,hvp_pairs_only,0.249379279591348,0.06014229766517974,3,0.8333333333333334,0.28867513459481287,3,0.045006419207153946,0.07675411364125684,3,2.0403783850771293,3.467177769857379,3,1.6666666666666667,0.5773502691896257,3,0.6409512163464642,0.6192261749695984,3,0.0,0.0,3
5.0,8,hvp_pairs_atp_main,0.9408983257319733,0.07905203388108326,3,0.8333333333333334,0.2886751345948129,3,0.045441750446081064,0.07638203764684003,3,2.066552129334743,3.429858507295517,3,2.0,1.0,3,0.9965457207876449,0.0015508303246508219,3,0.3333333333333333,0.5773502691896258,3
5.0,8,hvp_pairs_finite_main,0.8471251226950877,0.07484384641466088,3,0.8333333333333334,0.2886751345948129,3,0.045441750446081064,0.07638203764684003,3,2.066552129334743,3.429858507295517,3,2.0,1.0,3,0.9965457207876449,0.0015508303246508219,3,0.3333333333333333,0.5773502691896258,3
