prompt,io_name,s_name,io_token,s_token
"When Nancy and Daniel went to the store, Daniel gave a bottle of milk to",Nancy,Daniel,18496,7806
"When Brian and Eric went to the store, Eric gave a bottle of milk to",Brian,Eric,8403,7651
"When Emma and Mary went to the store, Mary gave a bottle of milk to",Emma,Mary,18966,5335
"When Michael and Jacob went to the store, Jacob gave a bottle of milk to",Michael,Jacob,3899,12806
"When Anna and Daniel went to the store, Daniel gave a bottle of milk to",Anna,Daniel,11735,7806
"When Helen and Karen went to the store, Karen gave a bottle of milk to",Helen,Karen,22695,18678
"When Jason and Jessica went to the store, Jessica gave a bottle of milk to",Jason,Jessica,8982,17352
"When Anna and Laura went to the store, Laura gave a bottle of milk to",Anna,Laura,11735,16753
"When Kevin and Eric went to the store, Eric gave a bottle of milk to",Kevin,Eric,7939,7651
"When Helen and James went to the store, James gave a bottle of milk to",Helen,James,22695,3700
"When Jacob and Tom went to the store, Tom gave a bottle of milk to",Jacob,Tom,12806,4186
"When Jessica and Tom went to the store, Tom gave a bottle of milk to",Jessica,Tom,17352,4186
"When Brian and Alice went to the store, Alice gave a bottle of milk to",Brian,Alice,8403,14862
"When Lisa and Karen went to the store, Karen gave a bottle of milk to",Lisa,Karen,15378,18678
"When Michael and Helen went to the store, Helen gave a bottle of milk to",Michael,Helen,3899,22695
"When Scott and Steven went to the store, Steven gave a bottle of milk to",Scott,Steven,4746,8239
"When Karen and Lisa went to the store, Lisa gave a bottle of milk to",Karen,Lisa,18678,15378
"When Eric and Tom went to the store, Tom gave a bottle of milk to",Eric,Tom,7651,4186
"When Jessica and Alice went to the store, Alice gave a bottle of milk to",Jessica,Alice,17352,14862
"When Rachel and Bob went to the store, Bob gave a bottle of milk to",Rachel,Bob,15984,5811
"When Eric and Nancy went to the store, Nancy gave a bottle of milk to",Eric,Nancy,7651,18496
"When Susan and David went to the store, David gave a bottle of milk to",Susan,David,14919,3271
"When Anna and Scott went to the store, Scott gave a bottle of milk to",Anna,Scott,11735,4746
"When Alice and Laura went to the store, Laura gave a bottle of milk to",Alice,Laura,14862,16753
"When Emma and David went to the store, David gave a bottle of milk to",Emma,David,18966,3271
"When Lisa and Mark went to the store, Mark gave a bottle of milk to",Lisa,Mark,15378,2940
"When Scott and Anna went to the store, Anna gave a bottle of milk to",Scott,Anna,4746,11735
"When Robert and Nancy went to the store, Nancy gave a bottle of milk to",Robert,Nancy,5199,18496
"When Jacob and Michael went to the store, Michael gave a bottle of milk to",Jacob,Michael,12806,3899
"When Mary and Karen went to the store, Karen gave a bottle of milk to",Mary,Karen,5335,18678
"When Helen and Scott went to the store, Scott gave a bottle of milk to",Helen,Scott,22695,4746
"When Helen and John went to the store, John gave a bottle of milk to",Helen,John,22695,1757
"When Bob and Rachel went to the store, Rachel gave a bottle of milk to",Bob,Rachel,5811,15984
"When Jason and Daniel went to the store, Daniel gave a bottle of milk to",Jason,Daniel,8982,7806
"When Steven and Jason went to the store, Jason gave a bottle of milk to",Steven,Jason,8239,8982
"When Karen and Susan went to the store, Susan gave a bottle of milk to",Karen,Susan,18678,14919
"When Mark and John went to the store, John gave a bottle of milk to",Mark,John,2940,1757
"When Lisa and Anna went to the store, Anna gave a bottle of milk to",Lisa,Anna,15378,11735
"When Jason and Nancy went to the store, Nancy gave a bottle of milk to",Jason,Nancy,8982,18496
"When David and Emily went to the store, Emily gave a bottle of milk to",David,Emily,3271,17608
"When Rachel and David went to the store, David gave a bottle of milk to",Rachel,David,15984,3271
"When Steven and Nancy went to the store, Nancy gave a bottle of milk to",Steven,Nancy,8239,18496
"When Bob and James went to the store, James gave a bottle of milk to",Bob,James,5811,3700
"When Helen and Kevin went to the store, Kevin gave a bottle of milk to",Helen,Kevin,22695,7939
"When Emily and Karen went to the store, Karen gave a bottle of milk to",Emily,Karen,17608,18678
"When Tom and Karen went to the store, Karen gave a bottle of milk to",Tom,Karen,4186,18678
"When Scott and Robert went to the store, Robert gave a bottle of milk to",Scott,Robert,4746,5199
"When Bob and David went to the store, David gave a bottle of milk to",Bob,David,5811,3271
"When Eric and Jacob went to the store, Jacob gave a bottle of milk to",Eric,Jacob,7651,12806
"When Helen and Anna went to the store, Anna gave a bottle of milk to",Helen,Anna,22695,11735
"When Alice and Jessica went to the store, Jessica gave a bottle of milk to",Alice,Jessica,14862,17352
"When Scott and Jessica went to the store, Jessica gave a bottle of milk to",Scott,Jessica,4746,17352
"When Steven and Alice went to the store, Alice gave a bottle of milk to",Steven,Alice,8239,14862
"When Scott and David went to the store, David gave a bottle of milk to",Scott,David,4746,3271
"When Jason and Helen went to the store, Helen gave a bottle of milk to",Jason,Helen,8982,22695
"When Scott and James went to the store, James gave a bottle of milk to",Scott,James,4746,3700
"When Scott and Kevin went to the store, Kevin gave a bottle of milk to",Scott,Kevin,4746,7939
"When Jessica and Robert went to the store, Robert gave a bottle of milk to",Jessica,Robert,17352,5199
"When Bob and Lisa went to the store, Lisa gave a bottle of milk to",Bob,Lisa,5811,15378
"When Karen and Daniel went to the store, Daniel gave a bottle of milk to",Karen,Daniel,18678,7806
"When David and Kevin went to the store, Kevin gave a bottle of milk to",David,Kevin,3271,7939
"When Emily and Jessica went to the store, Jessica gave a bottle of milk to",Emily,Jessica,17608,17352
"When Sarah and James went to the store, James gave a bottle of milk to",Sarah,James,10490,3700
"When Jason and Sarah went to the store, Sarah gave a bottle of milk to",Jason,Sarah,8982,10490
"When Mary and Lisa went to the store, Lisa gave a bottle of milk to",Mary,Lisa,5335,15378
"When Susan and Michael went to the store, Michael gave a bottle of milk to",Susan,Michael,14919,3899
"When Anna and Bob went to the store, Bob gave a bottle of milk to",Anna,Bob,11735,5811
"When Bob and Susan went to the store, Susan gave a bottle of milk to",Bob,Susan,5811,14919
"When Brian and Tom went to the store, Tom gave a bottle of milk to",Brian,Tom,8403,4186
"When Helen and Mary went to the store, Mary gave a bottle of milk to",Helen,Mary,22695,5335
"When Jason and Bob went to the store, Bob gave a bottle of milk to",Jason,Bob,8982,5811
"When Eric and Steven went to the store, Steven gave a bottle of milk to",Eric,Steven,7651,8239
"When Helen and Jason went to the store, Jason gave a bottle of milk to",Helen,Jason,22695,8982
"When Scott and Susan went to the store, Susan gave a bottle of milk to",Scott,Susan,4746,14919
"When Daniel and Jason went to the store, Jason gave a bottle of milk to",Daniel,Jason,7806,8982
"When Steven and Jacob went to the store, Jacob gave a bottle of milk to",Steven,Jacob,8239,12806
"When Karen and Emily went to the store, Emily gave a bottle of milk to",Karen,Emily,18678,17608
"When Nancy and James went to the store, James gave a bottle of milk to",Nancy,James,18496,3700
"When Eric and Susan went to the store, Susan gave a bottle of milk to",Eric,Susan,7651,14919
"When Kevin and Jason went to the store, Jason gave a bottle of milk to",Kevin,Jason,7939,8982
"When Emma and Kevin went to the store, Kevin gave a bottle of milk to",Emma,Kevin,18966,7939
"When Michael and Robert went to the store, Robert gave a bottle of milk to",Michael,Robert,3899,5199
"When Anna and Susan went to the store, Susan gave a bottle of milk to",Anna,Susan,11735,14919
"When Mark and Steven went to the store, Steven gave a bottle of milk to",Mark,Steven,2940,8239
"When Laura and Bob went to the store, Bob gave a bottle of milk to",Laura,Bob,16753,5811
"When David and Lisa went to the store, Lisa gave a bottle of milk to",David,Lisa,3271,15378
"When Alice and Anna went to the store, Anna gave a bottle of milk to",Alice,Anna,14862,11735
