model,n_rows,mae,rmse,r2,columns,n_params,bootstrap
additive_head,159,0.3547901252817719,0.4367342882290552,0.7356379635146264,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,0
pb_group_interaction,159,0.35536906000998275,0.44017567843107347,0.7314552951374048,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,0
group_interaction,159,0.3433251171710985,0.427115508531904,0.747154522128977,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,0
additive_head,159,0.3453744058755361,0.4269606277992125,0.7370044227163465,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,1
pb_group_interaction,159,0.34598118983031556,0.43027289340016006,0.7329080724189228,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,1
group_interaction,159,0.3364674273096511,0.418004055186795,0.7479226767975506,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,1
additive_head,159,0.34433528231258564,0.4233063688723395,0.7281289192884115,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,2
pb_group_interaction,159,0.3453045266694074,0.42638673219303813,0.7241577587556228,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,2
group_interaction,159,0.3347636649813912,0.41445103106405334,0.7393847308517683,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,2
additive_head,159,0.32992177662439875,0.40586323883841957,0.7253510059497241,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,3
pb_group_interaction,159,0.33054598078565817,0.40845930366382516,0.7218262376875029,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,3
group_interaction,159,0.32100159937235406,0.39789453598221064,0.7360300259245,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,3
additive_head,159,0.3377388675478407,0.41661092649015086,0.7402449932691725,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,4
