subset_idx,subset_name,mask_bits,heads,n_heads,n_P,n_B,n_E,has_P,has_B,has_E,P_B,P_E,B_E,ablation,position_mode,logit_diff_mean,logit_diff_std,drop_from_clean_mean,drop_from_clean_std,n_prompts
0,clean,0000000000000,,0,0,0,0,0,0,0,0,0,0,mean,end,3.7487902641296387,1.191861629486084,0.0,0.0,256
1,P:9.9,1000000000000,9.9,1,1,0,0,1,0,0,0,0,0,mean,end,3.555208444595337,1.2755370140075684,0.1935817301273346,0.4182373583316803,256
2,P:9.6,0100000000000,9.6,1,1,0,0,1,0,0,0,0,0,mean,end,3.9064249992370605,1.3394423723220825,-0.1576346457004547,0.31305789947509766,256
3,P:10.0,0010000000000,10.0,1,1,0,0,1,0,0,0,0,0,mean,end,3.31960391998291,1.1437557935714722,0.42918622493743896,0.4486764371395111,256
4,B:9.0,0001000000000,9.0,1,0,1,0,0,1,0,0,0,0,mean,end,3.7453036308288574,1.197400689125061,0.0034867338836193085,0.055598095059394836,256
5,B:9.7,0000100000000,9.7,1,0,1,0,0,1,0,0,0,0,mean,end,3.568213939666748,1.1208621263504028,0.18057629466056824,0.22362366318702698,256
6,B:10.1,0000010000000,10.1,1,0,1,0,0,1,0,0,0,0,mean,end,3.635946750640869,1.207819938659668,0.11284342408180237,0.21604610979557037,256
7,B:10.2,0000001000000,10.2,1,0,1,0,0,1,0,0,0,0,mean,end,3.7027130126953125,1.1476320028305054,0.04607735201716423,0.2969113290309906,256
8,B:10.6,0000000100000,10.6,1,0,1,0,0,1,0,0,0,0,mean,end,3.5430049896240234,1.182987928390503,0.20578551292419434,0.41660076379776,256
9,B:10.10,0000000010000,10.10,1,0,1,0,0,1,0,0,0,0,mean,end,3.6209020614624023,1.1556810140609741,0.1278882920742035,0.19546018540859222,256
10,B:11.2,0000000001000,11.2,1,0,1,0,0,1,0,0,0,0,mean,end,4.052509784698486,1.313907504081726,-0.3037194311618805,0.43450766801834106,256
11,B:11.9,0000000000100,11.9,1,0,1,0,0,1,0,0,0,0,mean,end,3.7045748233795166,1.169108271598816,0.04421548917889595,0.12209493666887283,256
12,E:10.7,0000000000010,10.7,1,0,0,1,0,0,1,0,0,0,mean,end,4.780572891235352,1.6302076578140259,-1.0317823886871338,0.6534280776977539,256
13,E:11.10,0000000000001,11.10,1,0,0,1,0,0,1,0,0,0,mean,end,4.478853225708008,1.5512096881866455,-0.7300628423690796,0.5254141092300415,256
14,E:10.7|E:11.10,0000000000011,"10.7,11.10",2,0,0,2,0,0,1,0,0,0,mean,end,5.898861885070801,2.020946502685547,-2.1500720977783203,1.0898935794830322,256
15,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,0001111111100,"9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9",8,0,8,0,0,1,0,0,0,0,mean,end,3.3985533714294434,1.1379331350326538,0.35023677349090576,0.6865667700767517,256
