model,slice,value,n,mae,rmse
additive_head,P_B,0,62,0.44252042833191646,0.5154769883775727
additive_head,P_B,1,177,0.357195960247265,0.43178059561185406
additive_head,P_E,0,107,0.40977891042544107,0.47836004615802163
additive_head,P_E,1,132,0.3546485462486556,0.4350957428400614
additive_head,B_E,0,98,0.37604533536684437,0.44467537407275454
additive_head,B_E,1,141,0.38161353655598573,0.46199675765685183
group_count_interaction,P_B,0,62,0.19701333313785294,0.2552019392170726
group_count_interaction,P_B,1,177,0.24061517305823338,0.28741464464240624
group_count_interaction,P_E,0,107,0.2024264009036879,0.2523425497643907
group_count_interaction,P_E,1,132,0.2510915711299968,0.2995703332866163
group_count_interaction,B_E,0,98,0.21057477751971518,0.25543346146486035
group_count_interaction,B_E,1,141,0.2423218729710787,0.29493689104103743
pb_count_interaction,P_B,0,62,0.4237926645202552,0.4869641648358552
pb_count_interaction,P_B,1,177,0.35047676717469184,0.4129423254023705
pb_count_interaction,P_E,0,107,0.4045129244940058,0.4703265170928517
pb_count_interaction,P_E,1,132,0.3411109853736187,0.4009027976362011
pb_count_interaction,B_E,0,98,0.37962571119798444,0.4386028080973008
pb_count_interaction,B_E,1,141,0.3624554134239278,0.42967989101261467
pb_occupancy_interaction,P_B,0,62,0.4509022634346204,0.5253100227627506
pb_occupancy_interaction,P_B,1,177,0.3549804979901471,0.42669643221557313
pb_occupancy_interaction,P_E,0,107,0.41323508285920796,0.48263490377034557
pb_occupancy_interaction,P_E,1,132,0.3528131409944488,0.4300378847548176
pb_occupancy_interaction,B_E,0,98,0.378560550142529,0.4469044643179865
pb_occupancy_interaction,B_E,1,141,0.3807698905193948,0.45943527029736875
