method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean
raw_atp,0.9914992834810556,0.013480461657959297,0.0199268066108838,0,0.6,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9915031734839234,0.013489210879715564,0.01992224674792156,0,0.6,256,1,1.0007008375226851,,,1.0,0.0,0.0,0.0
multigain_atp,0.9914857976232678,0.013510235937017103,0.019942606666272802,0,0.6,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9900439033732158,0.015295615598710751,0.02156524967670546,0,0.6,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9893811751035453,0.016105565347430115,0.022271433377414017,0,0.6,256,0,,,,1.0,0.009245535230127382,0.0,0.0
first_order_omp,0.991486976780055,0.013511190350705629,0.0199412256634964,0,0.6,256,0,,2.0,0.995188656684485,1.0,0.0,0.0,0.0
lifted_omp,0.9974283847326355,0.00863887695797163,0.010960060132754013,0,0.6,256,0,,5.0,0.9980513741828849,1.0,0.0,1.0,0.8261731252837308
raw_atp,0.9741103332741619,0.02008290467319923,0.035149166670218064,0,1.2,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9740058390160589,0.019977942987865545,0.03522002867715009,0,1.2,256,1,0.9934889683021044,,,1.0,0.0,0.0,0.0
multigain_atp,0.9740605473027146,0.020057770538313705,0.035182946458711166,0,1.2,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.959633815322952,0.029606057605820257,0.043889502146831016,0,1.2,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9682338042294435,0.026236599157835994,0.03893448254884782,0,1.2,256,0,,,,1.0,0.013472323665611402,0.0,0.0
first_order_omp,0.9732271655813742,0.020552306828549347,0.03574365660725243,0,1.2,256,0,,3.0,0.9862343702916708,1.0,0.0,0.0,0.0
lifted_omp,0.9974781349950812,0.008651235523474576,0.010970153909495139,0,1.2,256,0,,5.0,0.9980492157309999,1.0,0.0,1.0,1.6056720494540007
raw_atp,0.9349562171307173,0.029539841280264344,0.05678632791274061,0,2.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.934440857984043,0.02912310510491475,0.05701085062221151,0,2.0,256,1,0.9798403238406438,,,1.0,0.0,0.0,0.0
multigain_atp,0.934908782139067,0.02899800909639092,0.05680703064514724,0,2.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.8852235101790942,0.049348168249999505,0.07543403858950738,0,2.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9207119031152777,0.04118459750765084,0.06269672952782085,0,2.0,256,0,,,,1.0,0.019005707924659873,0.0,0.0
first_order_omp,0.9328451843168898,0.030131712297771864,0.05770048597792386,0,2.0,256,0,,3.0,0.965243483623301,1.0,0.0,0.0,0.0
lifted_omp,0.9975511866524448,0.008690993566069454,0.011018405014921566,0,2.0,256,0,,5.0,0.9980533757960884,1.0,0.0,1.0,2.6446202526571803
raw_atp,0.686202376333269,0.07061432828446032,0.14089506934491186,0,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.683203386779095,0.06959056553668716,0.14156674120589322,0,5.0,256,1,0.9020201952285983,,,1.0,0.0,0.0,0.0
multigain_atp,0.6911041254748311,0.06370867969308866,0.1397902958355942,0,5.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5787893181103219,0.10190386810389926,0.163237771833775,0,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.6246844953605618,0.10021272754882979,0.15408814356771397,0,5.0,256,0,,,,1.0,0.039761118292461164,0.0,0.0
first_order_omp,0.6731431812357596,0.07233123656748222,0.14379697321428986,0,5.0,256,0,,4.0,0.7998634196088867,1.0,0.0,0.0,0.0
lifted_omp,0.9976996014769054,0.009603291124345542,0.012063477262378492,0,5.0,256,0,,6.0,0.9981554566701097,1.0,0.0,1.0,6.548504275635354
raw_atp,0.43550091005136526,0.11362518865477936,0.22596817647478537,0,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.43134052453325955,0.11168254859454935,0.2267993460256232,0,8.0,256,1,0.8138061493864024,,,1.0,0.0,0.0,0.0
multigain_atp,0.44951106459365475,0.09884702811051206,0.2231464360758789,0,8.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.34394688079544267,0.1394220136183463,0.2436044179133786,0,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.33107914134040695,0.16003093641185112,0.24598182944376817,0,8.0,256,0,,,,1.0,0.061921727151541275,0.0,0.0
first_order_omp,0.4178678243223951,0.11382797043555273,0.22947028764824196,0,8.0,256,0,,4.0,0.5728595330722173,1.0,0.0,0.0,0.0
lifted_omp,0.9982021667343388,0.010077692288415,0.012752354112494464,0,8.0,256,0,,6.0,0.9984992094509444,1.0,0.0,1.0,10.450033416445184
