budget_measurements,epsilon,method,n,heldout_r2_mean,heldout_r2_std,heldout_r2_sem,mae_mean,mae_std,mae_sem,rmse_mean,rmse_std,rmse_sem,pair_topk_recall_mean,pair_topk_recall_std,pair_topk_recall_sem,confound_abs_coef_mean,confound_abs_coef_std,confound_abs_coef_sem,true_pair_abs_coef_mean_mean,true_pair_abs_coef_mean_std,true_pair_abs_coef_mean_sem,main_topk_overlap_mean,main_topk_overlap_std,main_topk_overlap_sem,omp_k_mean,omp_k_std,omp_k_sem,omp_val_r2_mean,omp_val_r2_std,omp_val_r2_sem,budget_forward_mean,budget_forward_std,budget_forward_sem,budget_backward_mean,budget_backward_std,budget_backward_sem
16,5.0,finite_single,3,0.5757062895082222,0.052017855583625046,0.030032522923873033,0.10359253165707345,0.007323568063697533,0.004228263993004316,0.165773013396851,0.005530680867119239,0.003193140087433209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
24,5.0,finite_single,3,0.5781946648808066,0.056567570724790364,0.032659302185360915,0.10067515067352663,0.009322740330105736,0.005382486639171529,0.16118309175211973,0.013047520503494227,0.007532989474949559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
32,5.0,finite_single,3,0.5596997082788792,0.05284077649975959,0.030507636536325062,0.10168099579471317,0.005752022475150922,0.0033209317244131628,0.1632855403654766,0.00729218886936128,0.004210147206707332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
48,5.0,finite_single,3,0.5845477879495041,0.027543529270175116,0.01590226403856796,0.10228373678606895,0.0046617215350414146,0.002691446183143236,0.16171185474118496,0.004457021083471932,0.002573262322326356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
56,5.0,finite_single,3,0.5679007431903552,0.03465917713951343,0.02001048525138898,0.10255435257692626,0.0050507586702635094,0.002916056877888475,0.16457620376172166,0.004717863944280416,0.002723860018230328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
64,5.0,finite_single,3,0.5816188714056097,0.015126190059925429,0.008733109902911398,0.10310215931406863,0.004839194815879902,0.002793910429609302,0.1627913132354546,0.0049801524311579954,0.002875292346734446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
72,5.0,finite_single,3,0.581129394036007,0.03516979747198203,0.020305292037793445,0.10316055185386534,0.008307343007022162,0.0047962467213547985,0.16295862185010437,0.010984345327926689,0.0063418147319502845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
80,5.0,finite_single,3,0.5645975993479835,0.030972283224033795,0.017881856056813254,0.10258817125077353,0.007600445779966197,0.004388119417024638,0.16176528299457102,0.009815299689434369,0.00566686591787178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
96,5.0,finite_single,3,0.5776756162220192,0.0209416438000309,0.012090663685221121,0.10100404029262883,0.005038084759936577,0.002908739592349534,0.15958234572472066,0.004474058588754818,0.0025830989305877525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
112,5.0,finite_single,3,0.5827359022447532,0.027985533291914836,0.016157455179502258,0.10137308337778757,0.0020686617853214254,0.0011943424386176163,0.16065564484478242,0.0025310158422981424,0.001461282677874038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
128,5.0,finite_single,3,0.5799871584584785,0.02058359764008695,0.01188394563839516,0.10333283048992557,0.003394755251966851,0.001959962858555959,0.16403715104691372,0.005085758918650333,0.002936264280716308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
192,5.0,finite_single,3,0.5966372007402342,0.041278468828009854,0.02383213508958707,0.09944350608156056,0.00502718173241703,0.0029024447264761398,0.1564417397972458,0.007307942921143364,0.004219242812744546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
256,5.0,finite_single,3,0.6094748086174643,0.02299221589701241,0.013274562037406092,0.096196877393393,0.003962942650483387,0.0022880060060396354,0.15174636913600062,0.005950248908151153,0.0034353778088663392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,64.0,0.0,0.0,0.0,0.0,0.0
16,5.0,first_order_omp,3,0.5469303205052388,0.2795779339793861,0.161414395442478,0.09990942099138234,0.04628128765079856,0.026720513883631055,0.1658657306139701,0.04545923001322945,0.026245898685291133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.2886751345948129,0.16666666666666666,1.6666666666666667,0.5773502691896258,0.3333333333333333,0.7359708762172724,0.11632984484845114,0.06716306723804068,16.0,0.0,0.0,0.0,0.0,0.0
24,5.0,first_order_omp,3,0.32039656790324583,0.40157172537138236,0.23184754374211006,0.13569010769273412,0.055097125013039185,0.03181033995785264,0.19766773119242567,0.06203776824063736,0.03581752219365559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.28867513459481287,0.16666666666666666,2.0,1.0,0.5773502691896258,0.6534639401852375,0.47188704993007413,0.27244411530422674,24.0,0.0,0.0,0.0,0.0,0.0
32,5.0,first_order_omp,3,0.6463363469828838,0.05548489051002404,0.032034216471919286,0.07574870788115873,0.0054321923757750966,0.0031362777304435835,0.14619676862759642,0.009052016781308644,0.005226184325397553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.6324345515825691,0.10410362590351967,0.06010425643901318,32.0,0.0,0.0,0.0,0.0,0.0
48,5.0,first_order_omp,3,0.6161076860205524,0.12493355136368853,0.07213041951064152,0.08424752922079874,0.0328827810216328,0.018984882474543212,0.1539806734661335,0.022938189668501332,0.013243369979831937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.2886751345948129,0.16666666666666666,1.6666666666666667,0.5773502691896258,0.3333333333333333,0.6217352799301341,0.30742811578746815,0.17749370540635417,48.0,0.0,0.0,0.0,0.0,0.0
