method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean,source_file,source_dir,budget_measurements,n_components,n_pairs,lifted_dim
finite_single,0.6196425768239597,0.0988615067436637,0.1617125094802307,0,5.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
first_order_omp,0.7258904249374447,0.0743475616506789,0.1372807905798925,0,5.0,16,0,,2.0,0.6934239580386309,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
lifted_omp,-0.3543636497945288,0.2322265501801528,0.3051513621405897,0,5.0,16,0,,1.0,-0.1431754092542163,0.5,0.0,0.5,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
multigain_atp,0.7255263365342524,0.0745403288541258,0.1373719325209645,0,5.0,16,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
raw_atp,0.7363639529796793,0.0656587529155951,0.1346325476290105,0,5.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
scalar_cal_atp,0.735203743091693,0.0640260818078734,0.1349284679676123,0,5.0,16,1,0.958834575895832,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
subset_ridge,-0.1033094548901998,0.2205236418259059,0.2754205481638248,0,5.0,16,0,,,,1.0,0.0288031952915645,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
finite_single,0.5892072773903364,0.0998878133409714,0.1635344643746454,1,5.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
first_order_omp,0.6901384328665214,0.0720467644899833,0.142030553236607,1,5.0,16,0,,2.0,0.6469041675634285,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
lifted_omp,-0.4666753640883105,0.2453626313459228,0.3090045830550282,1,5.0,16,0,,1.0,-0.9595697088963407,0.5,0.0,1.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
multigain_atp,0.6903390474732977,0.0718969614093833,0.1419845681581129,1,5.0,16,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
raw_atp,0.6919991682950419,0.0699448017367342,0.1416034605248711,1,5.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
scalar_cal_atp,0.6845712381919611,0.0755698740550121,0.1433007844487419,1,5.0,16,1,1.0569333497521207,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
subset_ridge,-0.0327670881247732,0.1991949284375151,0.259297970125546,1,5.0,16,0,,,,0.5,0.044397099487403,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
finite_single,0.5182690143103708,0.1120282748865853,0.1720720663356769,2,5.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
first_order_omp,0.2247621037117504,0.1533339368334848,0.2182858480254108,2,5.0,16,0,,1.0,0.8675845030497578,0.5,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
lifted_omp,0.2247621037117504,0.1533339368334848,0.2182858480254108,2,5.0,16,0,,1.0,0.8902129025910971,0.5,0.0,1.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
