method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean
raw_atp,0.6810780272553678,0.0694101172305825,0.1405004058910655,0,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.6897198169189165,0.0674426505397748,0.1385837718735686,0,5.0,64,1,0.9149609024756935,,,1.0,0.0,0.0,0.0
multigain_atp,0.6833360726383615,0.06670758829326504,0.140002133774646,0,5.0,64,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5946335855400406,0.0996193288898184,0.1584014817136197,0,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-6.472423968352058,0.5409266818200646,0.6800895635753941,0,5.0,64,0,,,,0.0,0.8951446164768023,0.0,0.0
first_order_omp,0.6833732441268896,0.06666523263346079,0.13999391648181783,0,5.0,64,0,,2.0,0.9361564790843855,1.0,0.0,0.0,0.0
lifted_omp,0.864089971913067,0.03789532459022163,0.09171937973070568,0,5.0,64,0,,3.0,0.7591745266213448,1.0,0.0,1.0,3.467028486100597
raw_atp,0.3915916262296726,0.1118189937023343,0.22563349147075745,0,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.41400365313464527,0.1076048910417088,0.22143865079340144,0,8.0,64,1,0.8386328393894398,,,1.0,0.0,0.0,0.0
multigain_atp,0.40345931901146515,0.10532860077017017,0.2234220360283381,0,8.0,64,1,,,,1.0,0.0,0.0,0.0
finite_single,0.34009217453424123,0.13691752303637045,0.23498904245488056,0,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-12.675659908227697,0.8513766961147081,1.069744638214633,0,8.0,64,0,,,,0.0,1.4048108181961578,0.0,0.0
first_order_omp,0.32755039253396967,0.13271584111672738,0.2372115572364915,0,8.0,64,0,,1.0,0.6262287487965486,0.5,0.0,0.0,0.0
lifted_omp,0.7441040702319959,0.05968272553455771,0.14633144507460527,0,8.0,64,0,,3.0,0.4900122141691612,1.0,0.0,1.0,5.564876054952669
raw_atp,0.6979995106399131,0.06922226635957937,0.13803209657952523,1,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.7010954225875565,0.06703168544677118,0.1373227665083563,1,5.0,64,1,0.9456468100187628,,,1.0,0.0,0.0,0.0
multigain_atp,0.6872656158008158,0.08087283266224206,0.14046369149856414,1,5.0,64,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5851993554220094,0.10105936712662164,0.1617692501893238,1,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-4.16922706552217,0.4683655085156052,0.5710696318488078,1,5.0,64,0,,,,1.0,0.02206085229819627,0.0,0.0
first_order_omp,0.6871926126669547,0.08091964577103677,0.14048008510897858,1,5.0,64,0,,2.0,0.8863407788852136,1.0,0.0,0.0,0.0
