epsilon,method,heldout_r2,heldout_r2,heldout_r2,mae,mae,mae,rmse,rmse,rmse,main_topk_overlap,main_topk_overlap,main_topk_overlap,pair_topk_recall,pair_topk_recall,pair_topk_recall,confound_abs_coef,confound_abs_coef,confound_abs_coef
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
5.0,finite_single,0.581129394036007,0.03516979747198203,3,0.10316055185386537,0.00830734300702219,3,0.16295862185010443,0.01098434532792668,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,first_order_omp,0.5324098022410649,0.1307857620987865,3,0.11709705303455152,0.030758501101375155,3,0.1715768599293639,0.02954261928258206,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,lifted_omp,0.9978304475317173,0.00013743223718349964,3,0.009425642304615832,0.0004608498528993143,3,0.011723718614229155,0.000494007098005831,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
5.0,multigain_atp,0.6634844407633494,0.029507726038208896,3,0.07607512783168358,0.007285993120317202,3,0.14589580420397444,0.005100758840001746,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,raw_atp,0.6672237411472244,0.019035729601225307,3,0.0720882747787338,0.003393991297369981,3,0.14523150078921296,0.006712181582071746,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,scalar_cal_atp,0.6641411485517332,0.022682751956683192,3,0.07468200676821114,0.006916875151163341,3,0.14589672186218783,0.007601475201197149,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,subset_ridge,-1.1279530523717918,1.2607966145650167,3,0.276247083793789,0.07454713863440132,3,0.35348330923609006,0.0915316611215297,3,0.5,0.5,3,0.0,0.0,3,0.23195177226475852,0.31342314254212444,3
8.0,finite_single,0.3349965229899876,0.03489425035986544,3,0.14043208986440134,0.008921232987733898,3,0.24372669814360326,0.014461692025031376,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,first_order_omp,0.15048795909002796,0.23352440467328148,3,0.18692228282076429,0.049304136244881426,3,0.27448330009321814,0.04706354123113477,3,0.6666666666666666,0.28867513459481287,3,0.0,0.0,3,0.0,0.0,3
8.0,lifted_omp,0.998325486392791,0.00010798297040032718,3,0.009721802588082048,0.00016414639042723047,3,0.012215961678676163,0.0003016165287181741,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
8.0,multigain_atp,0.3872372293573494,0.05342740399563368,3,0.12139384233522062,0.011592200388703011,3,0.23359136516775117,0.007931359562573218,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,raw_atp,0.3866346876447957,0.034582572202438815,3,0.11692511958625822,0.005816880682114568,3,0.23394155379972278,0.010522105814478325,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,scalar_cal_atp,0.3848596290882513,0.03950537246648508,3,0.11921258978952348,0.01101875620576368,3,0.23428979534318237,0.01212132244587705,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,subset_ridge,-2.8846608408396874,2.3290597711373566,3,0.44238805734967396,0.12094011040906835,3,0.56617558425569,0.1485625972934994,3,0.3333333333333333,0.2886751345948129,3,0.0,0.0,3,0.36652589818255654,0.5137927478473362,3
