method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean
raw_atp,0.9925736679406578,0.01326312626135427,0.018836431323033646,0,0.6,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9925419043811302,0.01326768547611109,0.018876671491346857,0,0.6,256,1,0.9942562933701198,,,1.0,0.0,0.0,0.0
multigain_atp,0.9925412092105415,0.01329092700826937,0.018877551220015634,0,0.6,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9910511600742515,0.015211967960544305,0.020677346913898307,0,0.6,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9907000267714425,0.015923869295985736,0.021079111134152374,0,0.6,256,0,,,,1.0,0.0028887437454928142,0.0,0.0
first_order_omp,0.992542448255492,0.013290308030451312,0.018875983197353275,0,0.6,256,0,,2.0,0.9936111429476343,1.0,0.0,0.0,0.0
lifted_omp,0.9976434802757661,0.008348799198514013,0.010610772031178746,0,0.6,256,0,,4.0,0.9977850286430794,1.0,0.0,1.0,0.7994216444245301
raw_atp,0.9765973912001988,0.019758034756184106,0.03362741738915613,0,1.2,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9764934847479223,0.019758991824325424,0.033701986763902014,0,1.2,256,1,0.9869850095683506,,,1.0,0.0,0.0,0.0
multigain_atp,0.9765082966877572,0.019736241579237493,0.033691366932390325,0,1.2,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9621347807866925,0.029487911334663046,0.04277417241687682,0,1.2,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9709860833414761,0.025960876986958408,0.03744247578351626,0,1.2,256,0,,,,1.0,0.0035833990016824373,0.0,0.0
first_order_omp,0.9765115910826914,0.019733666559216052,0.03368900446938258,0,1.2,256,0,,2.0,0.9813545228021239,1.0,0.0,0.0,0.0
lifted_omp,0.9976682330876677,0.008354608857730626,0.010614607644667434,0,1.2,256,0,,4.0,0.9977927288395824,1.0,0.0,1.0,1.5789881734127338
raw_atp,0.939365829967661,0.02891554502916595,0.05478933420995066,0,2.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.939166705590119,0.02881706327238438,0.054879225352532104,0,2.0,256,1,0.9732705504205427,,,1.0,0.0,0.0,0.0
multigain_atp,0.9393011616925326,0.028564118270307484,0.05481854370951678,0,2.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.8897890463427438,0.04894589730371075,0.07386686791203381,0,2.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9251764373152206,0.04095163161802323,0.06086344012105798,0,2.0,256,0,,,,1.0,0.004607851977333081,0.0,0.0
first_order_omp,0.9393069890184675,0.028557299046509194,0.05481591224903293,0,2.0,256,0,,2.0,0.9532296481051831,1.0,0.0,0.0,0.0
lifted_omp,0.9977094575022135,0.008392342264555036,0.010648942482599942,0,2.0,256,0,,4.0,0.9977891728896906,1.0,0.0,1.0,2.6180878836819916
raw_atp,0.6870439879122405,0.06946762909344785,0.13734849650937764,0,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.6887031311121584,0.06796044623087752,0.13698393464243572,0,5.0,256,1,0.8953069109401485,,,1.0,0.0,0.0,0.0
multigain_atp,0.6932289381481871,0.06311597598550484,0.1359845144921535,0,5.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5829455754856803,0.10048256651387816,0.1585545198222115,0,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.6219010361835253,0.09992046026975067,0.15096803552732452,0,5.0,256,0,,,,1.0,0.008871662915485119,0.0,0.0
first_order_omp,0.6932397652149893,0.06310819690092995,0.13598211477686642,0,5.0,256,0,,2.0,0.7486754401995235,1.0,0.0,0.0,0.0
lifted_omp,0.9978799734548506,0.008961754311958678,0.011304540384018968,0,5.0,256,0,,4.0,0.9975305262906717,1.0,0.0,1.0,6.514923827335029
raw_atp,0.41848876609893526,0.11202746113340895,0.22108261507748952,0,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.4251628388291755,0.10912073409658371,0.21981025822492184,0,8.0,256,1,0.8069396103545653,,,1.0,0.0,0.0,0.0
multigain_atp,0.4368204496969499,0.0979950978459197,0.21756998250462276,0,8.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.3408721749886343,0.13729690960301288,0.23537501534301733,0,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.3058094029677302,0.15953980508733379,0.24155437170509647,0,8.0,256,0,,,,1.0,0.01287802233734169,0.0,0.0
first_order_omp,0.43682980607192634,0.09798904444312068,0.21756817519930266,0,8.0,256,0,,2.0,0.4879772043489432,1.0,0.0,0.0,0.0
lifted_omp,0.9982993893801606,0.009506233864340654,0.011955781842942107,0,8.0,256,0,,4.0,0.997266747060532,1.0,0.0,1.0,10.416366161677814
raw_atp,0.9939392398660575,0.011924023868613177,0.01722463795963114,1,0.6,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9938822036604735,0.01200095003569393,0.017305496419625165,1,0.6,256,1,0.994711934041549,,,1.0,0.0,0.0,0.0
multigain_atp,0.9938792436624305,0.012001099645717597,0.017309682407371785,1,0.6,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9923327981253625,0.013905248851772,0.019373362435715077,1,0.6,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9918240277777621,0.015483324101695077,0.020005815432847286,1,0.6,256,0,,,,1.0,0.0007556523565570341,0.0,0.0
first_order_omp,0.9938826407354169,0.011996678709133471,0.01730487822856837,1,0.6,256,0,,2.0,0.9914316228074092,1.0,0.0,0.0,0.0
lifted_omp,0.9977104991631222,0.008517018729961127,0.010586611050305292,1,0.6,256,0,,7.0,0.995430070524216,1.0,0.0,1.0,0.7732366594732377
raw_atp,0.9818254864423838,0.017048855331461887,0.02997041548405469,1,1.2,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9817229443832822,0.017046687317229005,0.03005484430362823,1,1.2,256,1,0.9911184666553237,,,1.0,0.0,0.0,0.0
multigain_atp,0.9816967651172512,0.016984898001188346,0.030076361232643428,1,1.2,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9661193933329725,0.027774749725749233,0.04092012530210851,1,1.2,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.975679633622866,0.025224982356692217,0.03466940771794411,1,1.2,256,0,,,,1.0,0.002419729317197407,0.0,0.0
first_order_omp,0.9817018839744709,0.0169803084590098,0.030072155217543594,1,1.2,256,0,,2.0,0.9755138157490666,1.0,0.0,0.0,0.0
lifted_omp,0.9977351135830532,0.008500926720699811,0.010579973487658096,1,1.2,256,0,,7.0,0.9953849786546535,1.0,0.0,1.0,1.5530732071073436
raw_atp,0.9535696915194453,0.02456404541298518,0.0483175923621647,1,2.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9534354018002434,0.024187441111934327,0.048387416052833414,1,2.0,256,1,0.9828544978674981,,,1.0,0.0,0.0,0.0
multigain_atp,0.9533859994469533,0.023676027328052095,0.04841307737729618,1,2.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.8990248568695182,0.046739141833718925,0.07125440857052692,1,2.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9376068668684517,0.03964478325439504,0.05601094477882678,1,2.0,256,0,,,,1.0,0.004644623341848102,0.0,0.0
first_order_omp,0.9533930704613125,0.023671346820598377,0.04840940527723536,1,2.0,256,0,,2.0,0.9405915137373646,1.0,0.0,0.0,0.0
lifted_omp,0.9977693143689246,0.008486753648769243,0.010590676096477803,1,2.0,256,0,,7.0,0.9954181091813292,1.0,0.0,1.0,2.592737238114237
