epsilon,method,heldout_r2,heldout_r2,heldout_r2,mae,mae,mae,rmse,rmse,rmse,main_topk_overlap,main_topk_overlap,main_topk_overlap,pair_topk_recall,pair_topk_recall,pair_topk_recall,confound_abs_coef,confound_abs_coef,confound_abs_coef
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
0.6,finite_single,0.9918983071276761,0.0007337320960452025,3,0.014340476413159761,0.0007547339971248309,3,0.019879906363371575,0.0006989703239291917,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
0.6,first_order_omp,0.99324045786136,0.0006718381046057822,3,0.012549277134983721,0.0006670826799939283,3,0.018157242873274606,0.000794030415055077,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
0.6,lifted_omp,0.9977830318082895,0.00018670205311065502,3,0.008270795580250984,0.0002931155070835027,3,0.010400057595783687,0.00034425611180968324,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
0.6,multigain_atp,0.9932392311958216,0.0006709007950531306,3,0.012550585914277672,0.0006657573353630564,3,0.018158932133991015,0.0007920551916450816,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
0.6,raw_atp,0.9932570324303924,0.0006827866979815019,3,0.012505613746095025,0.0006866661382528978,3,0.018134611159517002,0.0008258118590147416,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
0.6,scalar_cal_atp,0.9932301814757912,0.0006708847542054168,3,0.012526801986409389,0.0006601769392150163,3,0.018171236601927536,0.0007977600621080606,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
0.6,subset_ridge,0.9910154486531771,0.0007058665703826742,3,0.016009777633306747,0.0005742476042137134,3,0.020944456805806075,0.000879083210815985,3,1.0,0.0,3,0.0,0.0,3,0.004250956458915344,0.004339829712106595,3
1.2,finite_single,0.9652512192910745,0.0027857322387382023,3,0.02833052446735895,0.0010025884184953085,3,0.04135711430570189,0.001256890714291404,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1.2,first_order_omp,0.9791144048375887,0.0025951804250372496,3,0.018289255879281676,0.001381668530448471,3,0.03203901629890672,0.001829127102984561,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1.2,lifted_omp,0.9978015394899441,0.0001761760388353314,3,0.008270809509669873,0.00028153140821136094,3,0.010402542861700536,0.0003377571411352544,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
1.2,multigain_atp,0.979112008326204,0.0025942861495301703,3,0.0182909475398277,0.0013809470099769134,3,0.03204088959156026,0.001827850536496801,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1.2,raw_atp,0.979095690058923,0.0026217242977300977,3,0.018295594202206975,0.0013674094854674687,3,0.03205297158253312,0.0018807040662996229,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1.2,scalar_cal_atp,0.9790483189877942,0.0026167870490713544,3,0.01825363533878131,0.0013805559182229284,3,0.0320894396080646,0.0018598401843128451,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
1.2,subset_ridge,0.972121792006544,0.003147602196298978,3,0.02640842585271543,0.0014596188851384274,3,0.037032761992049044,0.0021874665656015607,3,1.0,0.0,3,0.0,0.0,3,0.00879113397154551,0.010044694500649605,3
