method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean
raw_atp,0.3265162892691247,0.24909961637884181,0.3118043407266129,0,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.31293695244285524,0.24949877443156596,0.3149320821645937,0,5.0,96,1,0.7633285328171037,,,1.0,0.0,0.0,0.0
multigain_atp,0.30621894536905125,0.25162557242008365,0.3164680178404545,0,5.0,96,1,,,,1.0,0.0,0.0,0.0
finite_single,0.2753087809300663,0.2576026828476251,0.32344102777215356,0,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-1.3397408802868034,0.4696963471450972,0.5811690665750598,0,5.0,96,0,,,,0.0,0.394532193805252,0.0,0.0
first_order_omp,0.21664920584614233,0.268438335804858,0.33627668137131267,0,5.0,96,0,,2.0,-0.05082833522768038,0.5,0.0,0.0,0.0
lifted_omp,0.23873491758150833,0.2647086577118889,0.3315023136772391,0,5.0,96,0,,1.0,0.2573369756844467,0.5,0.0,1.0,0.0
raw_atp,0.23291222675504653,0.2805261807779681,0.3590928009937738,0,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.2260800423861702,0.2778067603975517,0.3606884134070244,0,8.0,96,1,0.697544669804556,,,1.0,0.0,0.0,0.0
multigain_atp,0.22558651932659723,0.2795235563851769,0.360803399251507,0,8.0,96,1,,,,1.0,0.0,0.0,0.0
finite_single,0.19032466786012048,0.2860851192440441,0.36892630517368136,0,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-1.21358527418385,0.489181567754463,0.6100034578337523,0,8.0,96,0,,,,0.0,0.43879681921753416,0.0,0.0
first_order_omp,0.03509594033936825,0.32383782844860115,0.402741362652092,0,8.0,96,0,,5.0,0.05112201928997495,0.5,0.0,0.0,0.0
lifted_omp,0.20035239593701637,0.2848365632443618,0.36663463439834615,0,8.0,96,0,,1.0,0.23062721877371095,0.5,0.0,1.0,0.0
raw_atp,0.19476144927829908,0.2690905818854362,0.33450906167361166,1,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.2067857525290704,0.2653917871175598,0.3320021230903809,1,5.0,96,1,0.726769966828991,,,1.0,0.0,0.0,0.0
multigain_atp,0.16946938049280835,0.2677216263066722,0.33972181212321706,1,5.0,96,1,,,,1.0,0.0,0.0,0.0
finite_single,0.1871433058652041,0.26628187275273496,0.33608768645673887,1,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-1.5730592107563197,0.4720355141290066,0.5979577484425234,1,5.0,96,0,,,,0.5,0.3031641984676093,0.0,0.0
first_order_omp,-0.03689252953926636,0.29989755525237505,0.3795880052943647,1,5.0,96,0,,2.0,0.20469297735325387,0.5,0.0,0.0,0.0
lifted_omp,0.13402414246229843,0.2729066849263759,0.34689536736936477,1,5.0,96,0,,1.0,-0.0037722312231243116,0.5,0.0,1.0,0.0
raw_atp,0.11703966443629576,0.2989519530107231,0.3809000925831498,1,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.13941461931893884,0.29374365183116136,0.37604296040007285,1,8.0,96,1,0.6538754530763223,,,1.0,0.0,0.0,0.0
multigain_atp,0.10949988365615804,0.2952421166980279,0.382522927820406,1,8.0,96,1,,,,1.0,0.0,0.0,0.0
finite_single,0.12431295880705484,0.29419286996862826,0.3793280359318717,1,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-1.5502447763798717,0.5079582209635372,0.6473384658995818,1,8.0,96,0,,,,0.5,0.26299463537026074,0.0,0.0
first_order_omp,-0.07442247335994523,0.32763628436627495,0.42017288513421186,1,8.0,96,0,,2.0,0.21550000554106663,0.5,0.0,0.0,0.0
lifted_omp,0.07982949050588539,0.3050748881272814,0.38884331428411595,1,8.0,96,0,,4.0,0.1538235881664881,0.5,0.0,0.5,5.968517146137525
raw_atp,0.263633996014907,0.2540413013851387,0.3233894033114536,2,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.2459156441731566,0.25908342492288905,0.327256955277917,2,5.0,96,1,0.5792039500977958,,,1.0,0.0,0.0,0.0
multigain_atp,0.22733380574044737,0.261922037873599,0.33126448360742433,2,5.0,96,1,,,,1.0,0.0,0.0,0.0
finite_single,0.24281876192305996,0.2599575888905574,0.3279282580575134,2,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-2.5577302440374807,0.5661078370970176,0.7108294750355364,2,5.0,96,0,,,,0.0,0.9156990407166846,0.0,0.0
first_order_omp,-0.06217421870950246,0.3071840895662242,0.3883978327950392,2,5.0,96,0,,1.0,-0.052024105973861534,0.5,0.0,0.0,0.0
lifted_omp,-0.06450932116898556,0.3059361410670545,0.3888245287187432,2,5.0,96,0,,2.0,-0.34848223473697737,0.5,0.0,0.0,0.0
raw_atp,0.1642126184388305,0.2825351250117931,0.37009840277347755,2,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.1556509379603067,0.287399702235444,0.3719891891199451,2,8.0,96,1,0.44930778837381574,,,1.0,0.0,0.0,0.0
