method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean,noise_std,source_dir,source_file,measurements,holdout_measurements,mask_density,mode,n_components
raw_atp,0.6705237230225732,0.0717091960842068,0.1459192716745577,0,5.0,0,1,,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
scalar_cal_atp,0.6756676097301069,0.0694903177739794,0.1447757220939793,0,5.0,96,1,0.9278010952553192,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.6872875355503945,0.0669459501416786,0.1421586119909253,0,5.0,96,1,,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
finite_single,0.6011357228726899,0.1004139464575566,0.1605510496918379,0,5.0,64,0,,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
subset_ridge,0.5003837552327459,0.1295903747227524,0.1796879085259039,0,5.0,96,0,,,,1.0,0.0849141413762941,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.6872907373733292,0.0669417389213614,0.1421578842171377,0,5.0,96,0,,2.0,0.8328202829893037,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
lifted_omp,0.9982014132711146,0.0085929346826149,0.0107811793464244,0,5.0,96,0,,4.0,0.9978499782169932,1.0,0.0,1.0,6.3547561824744765,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.3900647650472055,0.1160339483726931,0.2351747719369884,0,8.0,0,1,,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
scalar_cal_atp,0.4038965230763397,0.1116415809760155,0.2324929016293988,0,8.0,96,1,0.8620172322427718,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.4300436645807097,0.104718862706158,0.2273367583508019,0,8.0,96,1,,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
