method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean
raw_atp,0.9676380840361782,0.02972533117418818,0.06039221572114283,0,1.2,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9673209738425484,0.02990026396231976,0.06068738213206217,0,1.2,96,1,0.9795865355585658,,,1.0,0.0,0.0,0.0
multigain_atp,0.9654110207756534,0.0336135117097309,0.062435662380694125,0,1.2,96,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9574218669025927,0.04514270263941822,0.0692719093610121,0,1.2,32,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9451843854340599,0.053834362570350645,0.07859881430060008,0,1.2,96,0,,,,1.0,0.051920991729246024,0.0,0.0
first_order_omp,0.9562216091670979,0.04184382746734583,0.07024149523165395,0,1.2,96,0,,4.0,0.9657833187915835,1.0,0.0,0.0,0.0
lifted_omp,0.9990148692890017,0.007905191483517567,0.010536849570357696,0,1.2,96,0,,6.0,0.9990084301151247,1.0,0.0,1.0,1.5710009931883264
raw_atp,0.5711000583792614,0.13303818547566054,0.2535890746019274,0,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.575867804456528,0.12710256144849752,0.25217565970506806,0,5.0,96,1,0.8245691968925078,,,1.0,0.0,0.0,0.0
multigain_atp,0.5737407931310852,0.1284861874700975,0.2528071959188301,0,5.0,96,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5401174439161256,0.1541697578958191,0.2625886881843877,0,5.0,32,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.3117202029510924,0.22278984748576017,0.3212440232017317,0,5.0,96,0,,,,1.0,0.19870641295415747,0.0,0.0
first_order_omp,0.46139441656526026,0.16562423413202695,0.2841763755757617,0,5.0,96,0,,4.0,0.5006641197134372,1.0,0.0,0.0,0.0
lifted_omp,0.9978302282149588,0.012143758863867947,0.018036803504889398,0,5.0,96,0,,5.0,0.9987332738445585,1.0,0.0,1.0,6.529478465422706
