epsilon,method,heldout_r2,heldout_r2,heldout_r2,mae,mae,mae,rmse,rmse,rmse,main_topk_overlap,main_topk_overlap,main_topk_overlap,pair_topk_recall,pair_topk_recall,pair_topk_recall,confound_abs_coef,confound_abs_coef,confound_abs_coef
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
1.2,finite_single,0.9574218669025927,,1,0.04514270263941822,,1,0.0692719093610121,,1,1.0,,1,0.0,,1,0.0,,1
1.2,first_order_omp,0.9562216091670979,,1,0.04184382746734583,,1,0.07024149523165395,,1,1.0,,1,0.0,,1,0.0,,1
1.2,lifted_omp,0.9990148692890017,,1,0.007905191483517567,,1,0.010536849570357696,,1,1.0,,1,1.0,,1,0.0,,1
1.2,multigain_atp,0.9654110207756534,,1,0.0336135117097309,,1,0.062435662380694125,,1,1.0,,1,0.0,,1,0.0,,1
1.2,raw_atp,0.9676380840361782,,1,0.02972533117418818,,1,0.06039221572114283,,1,1.0,,1,0.0,,1,0.0,,1
1.2,scalar_cal_atp,0.9673209738425484,,1,0.02990026396231976,,1,0.06068738213206217,,1,1.0,,1,0.0,,1,0.0,,1
1.2,subset_ridge,0.9451843854340599,,1,0.053834362570350645,,1,0.07859881430060008,,1,1.0,,1,0.0,,1,0.051920991729246024,,1
5.0,finite_single,0.5401174439161256,,1,0.1541697578958191,,1,0.2625886881843877,,1,1.0,,1,0.0,,1,0.0,,1
5.0,first_order_omp,0.46139441656526026,,1,0.16562423413202695,,1,0.2841763755757617,,1,1.0,,1,0.0,,1,0.0,,1
5.0,lifted_omp,0.9978302282149588,,1,0.012143758863867947,,1,0.018036803504889398,,1,1.0,,1,1.0,,1,0.0,,1
5.0,multigain_atp,0.5737407931310852,,1,0.1284861874700975,,1,0.2528071959188301,,1,1.0,,1,0.0,,1,0.0,,1
5.0,raw_atp,0.5711000583792614,,1,0.13303818547566054,,1,0.2535890746019274,,1,1.0,,1,0.0,,1,0.0,,1
5.0,scalar_cal_atp,0.575867804456528,,1,0.12710256144849752,,1,0.25217565970506806,,1,1.0,,1,0.0,,1,0.0,,1
5.0,subset_ridge,0.3117202029510924,,1,0.22278984748576017,,1,0.3212440232017317,,1,1.0,,1,0.0,,1,0.19870641295415747,,1
