bootstrap,model,n_rows,mae,rmse,r2
0,additive_head,239,0.39826355224008353,0.47617756545910495,0.7538717974787532
0,count_additive,239,0.40414568116911775,0.48308263001876633,0.7466818174066081
0,count_plus_PB_count,239,0.396098407182924,0.46245159084345044,0.7678567421108202
0,count_plus_PE_count,239,0.27173432384181323,0.32675791650780867,0.8841020495489885
0,count_plus_BE_count,239,0.4049737109978356,0.4816122220654301,0.7482215713449849
0,count_plus_all_pairs,239,0.24822198909385926,0.29745716822927487,0.9039555225920352
1,additive_head,239,0.38893341449091723,0.4672200487992087,0.7601470700653414
1,count_additive,239,0.3960752895293445,0.4737668334227622,0.7533782384576717
1,count_plus_PB_count,239,0.38742669232260796,0.45291007429598845,0.7746144602948688
1,count_plus_PE_count,239,0.2664058353514112,0.32041205542809026,0.8871972251634148
1,count_plus_BE_count,239,0.3960596816695036,0.47152790107092524,0.7557037060827062
1,count_plus_all_pairs,239,0.24262633334349204,0.28997249235994066,0.9076119735714394
2,additive_head,239,0.38715728681606343,0.4610687147570542,0.7443921238309332
2,count_additive,239,0.3934600596829991,0.46821450167117556,0.7364077460499403
2,count_plus_PB_count,239,0.3859375665180494,0.4489102246044494,0.7576952561521296
2,count_plus_PE_count,239,0.2631237399014487,0.3160461918376054,0.8798997128328249
2,count_plus_BE_count,239,0.3943580148165848,0.46705513346030547,0.7377115165347319
2,count_plus_all_pairs,239,0.24146713642155704,0.2886622963589268,0.8998103067853844
3,additive_head,239,0.36900006845020117,0.4416194493448094,0.7491248853771769
3,count_additive,239,0.3749139397963551,0.4475630652996097,0.7423265457986379
3,count_plus_PB_count,239,0.3672602055486971,0.4282881095711097,0.7640427994775951
3,count_plus_PE_count,239,0.2525451356929188,0.30360321600214557,0.8814302414714249
3,count_plus_BE_count,239,0.3759540233969554,0.44649265041496317,0.7435576021231752
3,count_plus_all_pairs,239,0.23181392434593168,0.27653107963163476,0.9016330742652738
4,additive_head,239,0.37966517999515687,0.45570486138001637,0.7613005637925421
4,count_additive,239,0.3853321984592058,0.4621280277238361,0.7545241977845724
4,count_plus_PB_count,239,0.37730542607909834,0.44127865093036994,0.7761743246203324
4,count_plus_PE_count,239,0.25974810815782884,0.31293748413277683,0.887436071016329
4,count_plus_BE_count,239,0.38570851642171466,0.460133825234062,0.7566382103759983
4,count_plus_all_pairs,239,0.23653200063952867,0.28286438957325805,0.9080311781088171
5,additive_head,239,0.37625886346838355,0.4505593640667906,0.7504674561099725
5,count_additive,239,0.3826697143829189,0.4571939397245409,0.743064517584981
5,count_plus_PB_count,239,0.3754322248092839,0.4385676847815911,0.7635733600705277
5,count_plus_PE_count,239,0.25608690871397954,0.30826799970139285,0.8831899949989505
5,count_plus_BE_count,239,0.38350663215141423,0.45574505173959606,0.7446904396353925
5,count_plus_all_pairs,239,0.2348906985669594,0.28144839464233773,0.9026310009632762
6,additive_head,239,0.3598494102060267,0.4309009735498898,0.7587138903439062
6,count_additive,239,0.3653706751680314,0.43720106831228667,0.7516067444568819
6,count_plus_PB_count,239,0.3589435114560788,0.4201483350890088,0.7706056777747026
6,count_plus_PE_count,239,0.2416445200981911,0.2915518421764294,0.8895390051513508
6,count_plus_BE_count,239,0.3654724010014975,0.4352056167676968,0.7538689785424871
6,count_plus_all_pairs,239,0.22142520220619033,0.2657685265668651,0.9082123041460707
7,additive_head,239,0.36575119159725117,0.44040340835892533,0.7631302463195064
7,count_additive,239,0.3712332921469146,0.4462542159910494,0.75679475882818
7,count_plus_PB_count,239,0.36368586434314787,0.42620793132020646,0.7781541442604647
7,count_plus_PE_count,239,0.24834660739169293,0.2993850655726391,0.8905367016109972
7,count_plus_BE_count,239,0.37189489085556426,0.445042067517751,0.7581141882984683
7,count_plus_all_pairs,239,0.22577758590336283,0.270746628241993,0.9104770511413172
8,additive_head,239,0.3722971048841752,0.445467009262206,0.7506967211105591
8,count_additive,239,0.3783383283943337,0.4521715889565037,0.7431358823905656
8,count_plus_PB_count,239,0.3706045776188789,0.4324983952018347,0.7650010625240526
8,count_plus_PE_count,239,0.25400459696740135,0.3061447349227411,0.8822528273433379
8,count_plus_BE_count,239,0.37871997620022185,0.4506332795178161,0.7448806375656087
8,count_plus_all_pairs,239,0.23221299388854394,0.27803758316528,0.902881065853523
9,additive_head,239,0.38511137459865336,0.45851545956740297,0.7576442782279939
9,count_additive,239,0.391189309933311,0.4660519437937334,0.7496117421760136
9,count_plus_PB_count,239,0.3833369053286052,0.44688927590021277,0.7697788722834824
9,count_plus_PE_count,239,0.2616504760790227,0.3152166941212553,0.8854582718933544
9,count_plus_BE_count,239,0.3909866905760524,0.46383212302811894,0.7519912767926826
9,count_plus_all_pairs,239,0.23940648060954464,0.28700473270124544,0.9050437778770817
10,additive_head,239,0.3653520180340845,0.4394494581036959,0.7621049130943911
10,count_additive,239,0.37175308506092775,0.44564579684918987,0.7553488644031804
10,count_plus_PB_count,239,0.36446825108244,0.42709008926991937,0.7752981781373568
10,count_plus_PE_count,239,0.24598768697178744,0.2965924341942223,0.8916353224273761
10,count_plus_BE_count,239,0.3723287330855567,0.4447790542646245,0.7562995896205813
10,count_plus_all_pairs,239,0.22468485602012753,0.2699319568680641,0.910241370544402
11,additive_head,239,0.39398635475952193,0.4739467367428484,0.7555711887382237
11,count_additive,239,0.4003983121024717,0.48078302402625267,0.7484689693036424
11,count_plus_PB_count,239,0.39103129399737946,0.4586129860579134,0.7711315033242171
11,count_plus_PE_count,239,0.2688854924498607,0.3245013533121499,0.8854153755778758
11,count_plus_BE_count,239,0.3990909866061216,0.4777538990360934,0.7516284765915785
11,count_plus_all_pairs,239,0.2424967466119121,0.2912514788889169,0.9076940706014538
12,additive_head,239,0.3907967807918015,0.4677710118514809,0.7596593546765966
12,count_additive,239,0.3972625582529886,0.4748547460231818,0.7523249955443542
12,count_plus_PB_count,239,0.3879201837593925,0.45267183819544476,0.7749248402082127
12,count_plus_PE_count,239,0.2695505354827713,0.32426689038649936,0.8845042968689781
12,count_plus_BE_count,239,0.39784174103679837,0.4735830984645687,0.7536497526271215
12,count_plus_all_pairs,239,0.24524117791093314,0.29352308355088974,0.9053664491975113
13,additive_head,239,0.37721862071628376,0.452936428447852,0.753023807124394
13,count_additive,239,0.3837123858895146,0.4598189832217908,0.7454609711356958
13,count_plus_PB_count,239,0.3760034727577575,0.4401810926936255,0.7667383423273124
13,count_plus_PE_count,239,0.25599907119346793,0.3090000040539219,0.885053021590832
13,count_plus_BE_count,239,0.3838267659087008,0.45812040833883233,0.7473380360596502
13,count_plus_all_pairs,239,0.23350425228944455,0.2804379809667043,0.9053208712756085
14,additive_head,239,0.37281888456228085,0.44533224326326,0.759265428357647
14,count_additive,239,0.37772632107176224,0.4514968979219931,0.752554406600247
14,count_plus_PB_count,239,0.370588339270077,0.43263120673681976,0.7728012861807336
14,count_plus_PE_count,239,0.25233931699590345,0.3039258636833696,0.8878742136909606
14,count_plus_BE_count,239,0.3779705578149466,0.4494000843060893,0.7548474123452497
14,count_plus_all_pairs,239,0.23011236309410382,0.27607049213743096,0.9074854242720594
15,additive_head,239,0.389823964321987,0.46903994352515777,0.766607493562349
15,count_additive,239,0.3963098479217841,0.47537778259874286,0.7602575101941597
15,count_plus_PB_count,239,0.38689971815678414,0.45304664049136306,0.7822525494762828
15,count_plus_PE_count,239,0.2677281557332122,0.3222568143818669,0.8898279401214222
15,count_plus_BE_count,239,0.3959568947466516,0.47337751391794336,0.7622708162444345
15,count_plus_all_pairs,239,0.2420708207724646,0.29030691401655484,0.9105908412471493
16,additive_head,239,0.38156667570349956,0.4585729775099073,0.7646845357394966
16,count_additive,239,0.3878392904896488,0.4646347381307592,0.7584222661852364
16,count_plus_PB_count,239,0.3795152852222971,0.44361696926035765,0.7797835025149783
16,count_plus_PE_count,239,0.2609346766763496,0.31379530753277385,0.889813994324375
16,count_plus_BE_count,239,0.38827268985234076,0.46290677456111534,0.760215766626982
16,count_plus_all_pairs,239,0.2370808603768432,0.28361568033462486,0.9099893233881468
17,additive_head,239,0.37877944396735785,0.4528445949029999,0.7608578447472012
17,count_additive,239,0.3846069095797165,0.45947639031706816,0.7538022025837648
17,count_plus_PB_count,239,0.3772854035543486,0.44041253623766946,0.7738080694774416
17,count_plus_PE_count,239,0.25672345924155526,0.30986122966836555,0.8880324327781502
17,count_plus_BE_count,239,0.3851305451642102,0.4576841876210922,0.7557190620225955
