method,n_train,n_components,holdout_r2,pearson_vs_mi
omp,12,32,0.9347141098561826,0.9886063036465091
omp,16,32,0.9571278074016307,0.9916882231499605
omp,24,32,0.9754425996555087,0.9953714785588393
omp,32,32,0.9787761909728333,0.9961715484753078
omp,48,32,0.9815298971914064,0.9962067689067952
omp,64,32,0.9746168518470083,0.9939690549563585
ridge,12,32,-0.16930859641252982,0.5213357727003678
ridge,16,32,-0.07118656944302226,0.5069237798381094
ridge,24,32,0.5518991408181456,0.7219684532776774
ridge,32,32,0.9325506433350833,0.9619207932771517
ridge,48,32,0.9723464999257363,0.9936639569839595
ridge,64,32,0.9761406506427333,0.9919678347117594
