program,condition,n_examples,r2,mse,mae,n_labels_touched,label_indices,scale,group,labels,delta_mse_vs_base,delta_r2_vs_base,reconstruction_status,reconstruction_method,n_reconstruction_features,source_labels,reconstruction_write
first_order_is_A,baseline_readout,304,1.0,8.211691075435984e-23,8.60042410096091e-12,,,,,,,,,,,,
first_order_is_A,scale_group:all_nonpad,304,-0.05588733804415891,0.22553687730470584,0.38550786903243894,11.0,0;1;2;3;4;5;6;7;8;9;10,0.0,all_nonpad,indices:0;indices:1;indices:2;indices:3;indices:4;indices:5;is_A_1;tokens:A;tokens:B;tokens:BOS;tokens:C,0.22553687730470584,-1.055887338044159,,,,,
first_order_is_A,scale_group:all_nonpad,304,0.7360281654793489,0.056384219328229436,0.1927539345205197,11.0,0;1;2;3;4;5;6;7;8;9;10,0.5,all_nonpad,indices:0;indices:1;indices:2;indices:3;indices:4;indices:5;is_A_1;tokens:A;tokens:B;tokens:BOS;tokens:C,0.056384219328229436,-0.2639718345206511,,,,,
first_order_is_A,scale_group:all_nonpad,304,0.7360281655177946,0.056384219320017456,0.19275393450331882,11.0,0;1;2;3;4;5;6;7;8;9;10,1.5,all_nonpad,indices:0;indices:1;indices:2;indices:3;indices:4;indices:5;is_A_1;tokens:A;tokens:B;tokens:BOS;tokens:C,0.056384219320017456,-0.2639718344822054,,,,,
first_order_is_A,scale_group:tokens_nonbos,304,0.6390545855718657,0.07709771555587096,0.26181555202465173,3.0,7;8;10,0.0,tokens_nonbos,tokens:A;tokens:B;tokens:C,0.07709771555587096,-0.3609454144281343,,,,,
first_order_is_A,scale_group:tokens_nonbos,304,0.9097636463870786,0.019274428890225376,0.1309077760166261,3.0,7;8;10,0.5,tokens_nonbos,tokens:A;tokens:B;tokens:C,0.019274428890225376,-0.09023635361292137,,,,,
first_order_is_A,scale_group:tokens_nonbos,304,0.9097636464106299,0.019274428885194823,0.13090777599942519,3.0,7;8;10,1.5,tokens_nonbos,tokens:A;tokens:B;tokens:C,0.019274428885194823,-0.0902363535893701,,,,,
first_order_is_A,scale_group:indices,304,0.9999999999931143,1.4707919594731704e-12,1.2127621198700235e-06,6.0,0;1;2;3;4;5,0.0,indices,indices:0;indices:1;indices:2;indices:3;indices:4;indices:5,1.4707919593910535e-12,-6.885714221027683e-12,,,,,
first_order_is_A,scale_group:indices,304,0.9999999999982786,3.676983824879265e-13,6.063813836244606e-07,6.0,0;1;2;3;4;5,0.5,indices,indices:0;indices:1;indices:2;indices:3;indices:4;indices:5,3.676983824058096e-13,-1.7214007996813052e-12,,,,,
first_order_is_A,scale_group:indices,304,0.9999999999982786,3.676968123206274e-13,6.063800889201679e-07,6.0,0;1;2;3;4;5,1.5,indices,indices:0;indices:1;indices:2;indices:3;indices:4;indices:5,3.6769681223851047e-13,-1.7214007996813052e-12,,,,,
first_order_is_A,scale_group:explicit_detector,304,0.7683523232434777,0.04947979937644726,0.12369185425214874,1.0,6,0.0,explicit_detector,is_A_1,0.04947979937644726,-0.2316476767565223,,,,,
first_order_is_A,scale_group:explicit_detector,304,0.9420880808071458,0.01236994984490718,0.0618459271303746,1.0,6,0.5,explicit_detector,is_A_1,0.01236994984490718,-0.05791191919285421,,,,,
first_order_is_A,scale_group:explicit_detector,304,0.9420880808220402,0.012369949841725748,0.06184592712242151,1.0,6,1.5,explicit_detector,is_A_1,0.012369949841725748,-0.05791191917795979,,,,,
first_order_is_A,scale_group:true_detector,304,0.7683523232434777,0.04947979937644726,0.12369185425214874,1.0,6,0.0,true_detector,is_A_1,0.04947979937644726,-0.2316476767565223,,,,,
first_order_is_A,scale_group:true_detector,304,0.9420880808071458,0.01236994984490718,0.0618459271303746,1.0,6,0.5,true_detector,is_A_1,0.01236994984490718,-0.05791191919285421,,,,,
first_order_is_A,scale_group:true_detector,304,0.9420880808220402,0.012369949841725748,0.06184592712242151,1.0,6,1.5,true_detector,is_A_1,0.012369949841725748,-0.05791191917795979,,,,,
first_order_is_A,scale_group:reconstruct_from,304,0.7683521891736432,0.04947982801368034,0.1236918900464728,1.0,7,0.0,reconstruct_from,tokens:A,0.04947982801368034,-0.23164781082635677,,,,,
first_order_is_A,scale_group:reconstruct_from,304,0.9420880472896872,0.012369957004215445,0.06184594502753662,1.0,7,0.5,reconstruct_from,tokens:A,0.012369957004215445,-0.0579119527103128,,,,,
first_order_is_A,scale_group:reconstruct_from,304,0.9420880473045816,0.012369957001033993,0.06184594501958347,1.0,7,1.5,reconstruct_from,tokens:A,0.012369957001033993,-0.05791195269541838,,,,,
first_order_is_A,scale_group:token_A,304,0.7683521891736432,0.04947982801368034,0.1236918900464728,1.0,7,0.0,token_A,tokens:A,0.04947982801368034,-0.23164781082635677,,,,,
first_order_is_A,scale_group:token_A,304,0.9420880472896872,0.012369957004215445,0.06184594502753662,1.0,7,0.5,token_A,tokens:A,0.012369957004215445,-0.0579119527103128,,,,,
first_order_is_A,scale_group:token_A,304,0.9420880473045816,0.012369957001033993,0.06184594501958347,1.0,7,1.5,token_A,tokens:A,0.012369957001033993,-0.05791195269541838,,,,,
